#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
145,Mauritania,"62,784",,994 ,,"61,777",,13,,"12,808",203,"965,043","196,868","4,901,981 ",Africa,"784,9325",,,3
146,Cabo Verde,"62,354",,410 ,,"61,879",,65,23,"109,840",722,"401,622","707,482","567,678 ",Africa,"91,3851",,,115
147,Bhutan,"61,730",,21 ,,"61,564",,145,,"78,343",27,"2,303,734","2,923,739","787,941 ",Asia,"1337,5210",,,184
148,Syria,"57,227",,"3,163 ",,"53,992",,72,,"2,955",163,"146,269","7,553","19,364,809 ",Asia,"3386,122132",,,4
149,Burundi,"49,370",,38 ,,"48,578",,754,,"3,911",3,"345,742","27,386","12,624,840 ",Africa,"256332,23337",,,60
150,Gabon,"48,682",,306 ,,"48,266",,110,,"20,880",131,"1,615,785","693,014","2,331,533 ",Africa,"487,6191",,,47
151,Seychelles,"46,358",,169 ,,"45,977",,212,,"466,256","1,700",,,"99,426 ",Africa,2588,,,"2,132"
152,Andorra,"46,147",,155 ,,"45,938",,54,14,"595,730","2,001","249,838","3,225,256","77,463 ",Europe,25000,,,697
153,Curaçao,"45,127",,282 ,,"44,720",,125,3,"272,623","1,704","496,693","3,000,640","165,529 ",North America,45870,,,755
154,Papua New Guinea,"44,937",,664 ,,"43,982",,291,7,"4,836",71,"249,149","26,813","9,292,169 ",Australia/Oceania,"20713,99437",,,31
155,Aruba,"42,914",,227 ,,"42,438",,249,2,"398,796","2,109","177,885","1,653,068","107,609 ",North America,34741,,,"2,314"
156,Mauritius,"40,401",,"1,023 ",,"38,728",,650,,"31,694",803,"358,675","281,374","1,274,727 ",Africa,"321,2464",,,510
157,Mayotte,"40,204",,187 ,,N/A,N/A,N/A,,"140,446",653,"176,919","618,038","286,259 ",Africa,"71,5312",,,"129,439"
158,Tanzania,"39,253",,845 ,,N/A,N/A,N/A,7,620,13,,,"63,298,550 ",Africa,"1,61374,910",,,604
159,Togo,"38,780",,284 ,,"38,246",,250,,"4,467",33,"790,041","91,010","8,680,837 ",Africa,"22430,56611",,,29
160,Isle of Man,"38,008",,116 ,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732 ",Europe,27391,,,"129,450"
161,Guinea,"37,652",,449 ,,"36,880",,323,8,"2,715",32,"660,107","47,607","13,865,691 ",Africa,"36830,88121",,,23
162,Bahamas,"37,203",,833 ,,"36,023",,347,1,"92,888","2,080","248,846","621,314","400,516 ",North America,114812,,,866
163,Faeroe Islands,"34,658",,28 ,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233 ",Europe,"11,7580",,,"547,133"
164,Lesotho,"34,490",,706 ,,"25,980",,"7,804",,"15,852",324,"431,221","198,199","2,175,699 ",Africa,"633,0825",,,"3,587"
165,Haiti,"33,721",,857 ,,"31,266",,"1,598",,"2,887",73,"132,422","11,337","11,680,283 ",North America,"34613,62988",,,137
166,Mali,"32,532",,740 ,,"31,150",,642,,"1,515",34,"754,651","35,143","21,473,764 ",Africa,"66029,01928",,,30
167,Cayman Islands,"30,545",,31 ,,"8,553",,"21,961",1,"454,018",461,"222,773","3,311,280","67,277 ",North America,"22,1700",,,"326,427"
168,Saint Lucia,"28,894",,391 ,,"28,369",,134,,"156,088","2,112","209,716","1,132,908","185,113 ",North America,64731,,,724
169,Benin,"27,638",,163 ,,"27,322",,153,5,"2,162",13,"604,310","47,268","12,784,726 ",Africa,"46378,43421",,,12
170,Somalia,"27,207",,"1,352 ",,"13,182",,"12,673",,"1,615",80,"400,466","23,778","16,841,795 ",Africa,"61912,45742",,,752
171,Congo,"24,837",,386 ,,"24,006",,445,,"4,284",67,"347,815","59,991","5,797,805 ",Africa,"23315,02017",,,77
172,Timor-Leste,"23,239",,138 ,,"23,067",,34,,"16,970",101,"275,776","201,380","1,369,429 ",Asia,"599,9235",,,25
